"Id";"Type";"Nature";"Caracteristique"
1548;"parure";"épingle";
1549;"parure";"corde";
1550;"intérieur";"cotte";
1551;"tête";"chaperon";
1552;"cheval";"selle";
1553;"cheval";"garnison de selle";
1554;"intérieur";"corset";
1555;"extérieur";"mantel";
1556;"intérieur";"corset";
1557;"tête";"chaperon";
1558;"mobilier";"linteamenta";
1559;"sous vêtement";"drap linge";
1560;"mobilier";"canevas de lit";
1561;"autre";"emballage";
1562;"cheval";"chamfrein";
1563;"militaire";"écus de joute";
1564;"parure";"ceinture";
1565;"sous vêtement";"chausses";
1566;"ajusté";"gipon";
1567;"cheval";"selle";
1568;"sous vêtement";"chausses";
1569;"militaire";"plate";
1570;"intérieur";"robe";
1571;"intérieur";"veste";
1572;"militaire";"harnais";
1573;"ajusté";"gipon";
1574;"militaire";"harnais";
1575;"militaire";"harnais";
1576;"militaire";"heaume";
1577;"militaire";"bracelle";
1578;"parure";"aiguillette";
1579;"parure";"ruban";"à petit noeud"
1580;"cheval";"chabraque";
1581;"militaire";"harnais";
1582;"cheval";"chabraque";
1583;"autre";"emballage";
1584;"parure";"noeud";"peint"
1585;"parure";"noeud";"peint"
1586;"militaire";"gantellet";
1587;"militaire";"harnais";
1588;"intérieur";"robe";
1589;"intérieur";"robe";
1590;"mobilier";"tenture";"bande"
1591;"mobilier";"écusson";
1592;"mobilier";"couverture de chasse (religieuse)";
1593;"intérieur";"cotte";
1594;"tête";"chaperon";
1595;"sous vêtement";"chausses";
1596;"extérieur";"mantel";
1597;"parure";"gant";"grand"
1598;"intérieur";"cotte";
1599;"tête";"chaperon";
1600;"sous vêtement";"chausses";
1601;"ajusté";"gipon";
1602;"intérieur";"robe";"grand"
1603;"extérieur";"mantel";
1604;"intérieur";"cotte";
1605;"tête";"chaperon";"double"
1606;"extérieur";"mantel";"double"
1607;"sous vêtement";"chausses";
1608;"tête";"chaperon";"double"
1609;"extérieur";"mantel";
1610;"tête";"chaperon";"brodé"
1611;"nuit";"chaperon";
1612;"intérieur";"cotte";"à chevaucher"
1613;"extérieur";"mantel";
1614;"intérieur";"cotte";
1615;"tête";"chaperon";
1616;"intérieur";"cotte";
1617;"tête";"chaperon";
1618;"intérieur";"cotte";
1619;"militaire";"chausses";"de maille"
1620;"ajusté";"gipe";
1621;"intérieur";"corset";
1622;"intérieur";"corset";
1623;"ajusté";"gipe";
1624;"ajusté";"landier";
1625;"intérieur";"corset";
1626;"intérieur";"corset";
1627;"ajusté";"gipon";
1628;"militaire";"cotte ardie";
1629;"intérieur";"cotte";"simple"
1630;"tête";"chaperon";
1631;"ajusté";"gipon";
1632;"tête";"coiffe";
1633;"parure";"ruban";
1634;"tête";"chapeau";"double"
1635;"parure";"gant";
1636;"parure";"épingle";
1637;"tête";"chaperon";
1638;"sous vêtement";"chausses";
1639;"parure";"chausson";
1640;"intérieur";"malecotte";
1641;"extérieur";"mantel";
1642;"vêtement";"robe";"entier"
1643;"tête";"chaperon";
1644;"sous vêtement";"chausses";"à chevaucher"
1645;"sous vêtement";"drap linge";
1646;"extérieur";"mantel";
1647;"sous vêtement";"futaine";
1648;"intérieur";"cotte";
1649;"vêtement";"veste";
1650;"vêtement";"robe";
1651;"extérieur";"mantel";
1652;"extérieur";"mantel";"à pluperte"
1653;"extérieur";"mantel";
1654;"extérieur";"mantel";
1655;"tête";"chaperon";"double"
1656;"intérieur";"cotte";
1657;"extérieur";"mantel";
1658;"doublure";;
1659;"doublure";"mantel";
1660;"doublure";"manche";
1661;"doublure";"corset";
1662;"extérieur";"mantel";
1663;"intérieur";"cotte";
1664;"tête";"chaperon";"double"
1665;"parure";"gant";
1666;"sous vêtement";"chausses";
1667;"tête";"chaperon";"double"
1668;"extérieur";"mantel";
1669;"extérieur";"mantel";
1670;"extérieur";"mantel";
1671;"tête";"chaperon";"grand"
1672;"extérieur";"mantel";
1673;"intérieur";"cotte";
1674;"extérieur";"mantel";"double"
1675;"ajusté";"gipon";
1676;"sous vêtement";"chausses";
1677;"tête";"chaperon";"grand"
1678;"extérieur";"mantel";"double"
1679;"extérieur";"mantel";
1680;"tête";"chaperon";
1681;"ajusté";"gipon";
1682;"ajusté";"gipon";
1683;"ajusté";"gipon";
1684;"parure";"estivaux";
1685;"intérieur";"malecotte";
1686;"tête";"chaperon";
1687;"extérieur";"mantel";
1688;"intérieur";"robe";
1689;"intérieur";"robe";
1690;"tête";"chaperon";
1691;"ajusté";"gipon";
1692;"sous vêtement";"chausses";
1693;"parure";"ruban";"or"
1694;"parure";"ruban";"argent"
1695;"ajusté";"gipon";
1696;"ajusté";"gipon";
1697;"intérieur";"malecotte";
1698;"intérieur";"robe";
1699;"ajusté";"gipon";
1700;"parure";"estivaux";
1701;"ajusté";"gipon";
1702;"parure";"estivaux";
1703;"extérieur";"mantel";
1704;"sous vêtement";"chausses";
1705;"extérieur";"mantel";
1706;"extérieur";"mantel";
1707;"extérieur";"mantel";
1708;"sous vêtement";"pelisson";
1709;"extérieur";"mantel";
1710;"tête";"chaperon";
1711;"intérieur";"robe";
1712;"intérieur";"robe";
1713;"tête";"chaperon";
1714;"tête";"chapeau";
1715;"ajusté";"gipon";
1716;"sous vêtement";"chausses";
1717;"parure";"chaussure";
1718;"tête";"chaperon";
1719;"intérieur";"robe";
1720;"mobilier";"couverture";
1721;"extérieur";"mantel";
1722;"extérieur";"mantel";
1723;"tête";"coiffe";
1724;"ajusté";"gipon";
1725;"ajusté";"gipon";
1726;"intérieur";"robe";
1727;"mobilier";"couverture";
1728;"mobilier";"couverture";
1729;"ajusté";"gipon";
1730;"ajusté";"gipon";
1731;"parure";"gant";
1732;"parure";"chaussure";
1733;"tête";"chaperon";
1734;"ajusté";"gipon";
1735;"tête";"chaperon";
1736;"militaire";"plate";
1737;"militaire";"harnais";
1738;"ajusté";"gipon";
1739;"ajusté";"gipon";
1740;"sous vêtement";"chausses";
1741;"tête";"chaperon";
1742;"mobilier";"parement";
1743;"ajusté";"gipon";
1744;"extérieur";"mantel";"double"
1745;"militaire";"harnais";
1746;"extérieur";"mantel";
1747;"militaire";"plate";
1748;"cheval";"couverture";
1749;"ajusté";"gipon";
1750;"parure";"manche";
1751;"religieux";"habit";
1752;"extérieur";"mantel";
1753;"ajusté";"gipon";
1754;"intérieur";"malecotte";
1755;"intérieur";"malecotte";
1756;"intérieur";"cotte";
1757;"intérieur";"malecotte";
1758;"sous vêtement";"chausses";
1759;"tête";"chaperon";
1760;"ajusté";"gipon";
1761;"intérieur";"malecotte";
1762;"extérieur";"houpelande";
1763;"intérieur";"cotte";
1764;"ajusté";"gipon";
1765;"extérieur";"manche";"double"
1766;"mobilier";"fenêtre";
1767;"sous vêtement";"chausses";
1768;"parure";"chausses";
1769;"intérieur";"cotte";"à chevaucher"
1770;"sous vêtement";"chausses";
1771;"sous vêtement";"chausses";
1772;"mobilier";"litière";
1773;"extérieur";"mantel";
1774;"tête";"coiffe";
1775;"sous vêtement";"chausses";"à chevaucher"
1776;"sous vêtement";"chausses";
1777;"religieux";"habit";
1778;"religieux";"veste";
1779;"mobilier";"couverture";
1780;"extérieur";"mantel";
1781;"intérieur";"robe";
1782;"intérieur";"robe";
1783;"ajusté";"gipon";
1784;"tête";"chaperon";
1785;"tête";"chaperon";
1786;"tête";"chaperon";
1787;"intérieur";"cotte";
1788;"sous vêtement";"chausses";
1789;"intérieur";"malecotte";
1790;"autre";"couteau";
1791;"militaire";"chaperon";"de bacinet"
1792;"militaire";"bacinet";
1793;"sous vêtement";"chausses";
1794;"intérieur";"robe";
1795;"mobilier";"couverture";
1796;"ajusté";"gipon";
1797;"intérieur";"malecotte";
1798;"militaire";"chausses";"à jouter"
1799;"extérieur";"houpelande";
1800;"ajusté";"gipon";
1801;"intérieur";"robe";
1802;"intérieur";"malecotte";
1803;"ajusté";"gipon";
1804;"sous vêtement";"chausses";
1805;"parure";"estivaux";
1806;"parure";"chausses";
1807;"intérieur";"robe";
1808;"ajusté";"gipon";
1809;"sous vêtement";"chausses";
1810;"intérieur";"cotte";
1811;"intérieur";"cotte";
1812;"intérieur";"cotte";
1813;"extérieur";"mantel";
1814;"extérieur";"mantel";
1815;"ajusté";"gipon";
1816;"parure";"estivaux";
1817;"ajusté";"gipon";
1818;"extérieur";"mantel";
1819;"tête";"chaperon";
1820;"cheval";"selle";
1821;"ajusté";"gipon";
1822;"intérieur";"malecotte";
1823;"tête";"chaperon";
1824;"extérieur";"houpelande";
1825;"intérieur";"robe";
1826;"intérieur";"malecotte";
1827;"militaire";"bandière";
1828;"intérieur";"cotte";
1829;"extérieur";"houpelande";
1830;"extérieur";"houpelande";
1831;"intérieur";"malecotte";
1832;"extérieur";"mantel";
1833;"intérieur";"malecotte";
1834;"intérieur";"malecotte";
1835;"intérieur";"robe";"long"
1836;"extérieur";"manche";
1837;"parure";"manche";
1838;"extérieur";"houpelande";
1839;"intérieur";"cotte";
1840;"extérieur";"houpelande";
1841;"intérieur";"cotte";
1842;"extérieur";"houpelande";
1843;"intérieur";"robe";
1844;"extérieur";"mantel";
1845;"ajusté";"gipon";
1846;"ajusté";"gipon";
1847;"extérieur";"houpelande";
1848;"intérieur";"robe";
1849;"extérieur";"houpelande";
1850;"autre";;
1851;"intérieur";"malecotte";
1852;"extérieur";"mantel";
1853;"vêtement";"garnement";
1854;"extérieur";"houpelande";
1855;"sous vêtement";"chausses";
1856;"intérieur";"robe";
1857;"sous vêtement";"chausses";
1858;"tête";"chaperon";
1859;"sous vêtement";"chausses";
1860;"intérieur";"malecotte";
1861;"extérieur";"mantel";
1862;"intérieur";"corset";"ouvert"
1863;"extérieur";"cape";
1864;"vêtement";;"à chevaucher"
1865;"intérieur";"robe";"long"
1866;"extérieur";"manche";
1867;"parure";"manche";"crunnorum"
1868;"tête";"chapeau";
1869;"extérieur";"houpelande";
1870;"intérieur";"cotte ardie";
1871;"intérieur";"cotte";
1872;"parure";"épingle";
1873;"intérieur";"malecotte";
1874;"cheval";"selle";
1875;"cheval";"selle";
1876;"sous vêtement";"chausses";
1877;"cheval";"selle";
1878;"extérieur";"mantel";
1879;"intérieur";"malecotte";
1880;"mobilier";"manibus";
1881;"tête";"coiffe";
1882;"intérieur";"malecotte";
1883;"sous vêtement";"chausses";
1884;"intérieur";"malecotte";
1885;"cheval";"selle";
1886;"sous vêtement";"chausses";
1887;"vêtement";"veste";
1888;"intérieur";"malecotte";
1889;"sous vêtement";"chausses";
1890;"tête";"coiffe";
1891;"extérieur";"mantel";
1892;"sous vêtement";"chausses";
1893;"vêtement";"veste";
1894;"sous vêtement";"chausses";
1895;"intérieur";"malecotte";
1896;"autre";"manibus";
1897;"sous vêtement";"chausses";
1898;"extérieur";"manche";
1899;"militaire";"pennon";"armes"
1900;"parure";"manche";
1901;"tête";"capitegia";
1902;"tête";"capitegia";
1903;"ajusté";"gipon";
1904;"extérieur";"mantel";
1905;"intérieur";"malecotte";
1906;"vêtement";"robe";
1907;"vêtement";"robe";
1908;"parure";"chausses";
1909;"tête";"chaperon";
1910;"sous vêtement";"chausses";
1911;"intérieur";"cotte";
1912;"tête";"chaperon";
1913;"sous vêtement";"chausses";
1914;"intérieur";"robe";
1915;"intérieur";"cotte";
1916;"intérieur";"cotte";
1917;"intérieur";"corset";
1918;"extérieur";"mantel";
1919;"extérieur";"mantel";
1920;"extérieur";"mantel";
1921;"intérieur";"malecotte";
1922;"tête";"chaperon";
1923;"ajusté";"gipon";
1924;"religieux";"chapelle";
1925;"cheval";"selle";
1926;"tête";"capitegia";
1927;"ajusté";"gipon";
1928;"ajusté";"gipon";
1929;"extérieur";"mantel";
1930;"extérieur";"mantel";"demi"
1931;"sous vêtement";"chausses";
1932;"sous vêtement";"chausses";
1933;"extérieur";"mantel";
1934;"ajusté";"gipon";
1935;"tête";"chaperon";"grand"
1936;"sous vêtement";"chausses";
1937;"intérieur";"malecotte";
1938;"ajusté";"gipon";
1939;"extérieur";"mantel";
1940;"ajusté";"gipon";
1941;"intérieur";"malecotte";
1942;"cheval";"couverture";
1943;"sous vêtement";"chausses";
1944;"ajusté";"gipon";
1945;"sous vêtement";"chausses";
1946;"ajusté";"gipon";
1947;"sous vêtement";"chausses";
1948;"tête";"chaperon";
1949;"sous vêtement";"chausses";
1950;"tête";"chaperon";
1951;"ajusté";"gipon";
1952;"mobilier";"marchepied";
1953;"mobilier";"banc";
1954;"ajusté";"gipon";
1955;"ajusté";"gipon";
1956;"intérieur";"robe";
1957;"parure";"chaussure";
1958;"parure";"chaussure";
1959;"sous vêtement";"chausses";
1960;"ajusté";"gipon";
1961;"sous vêtement";"chausses";
1962;"parure";"chaussure";
1963;"ajusté";"gipon";
1964;"parure";"estivaux";
1965;"ajusté";"gipon";
1966;"tête";"chaperon";
1967;"sous vêtement";"chausses";
1968;"ajusté";"gipon";
1969;"ajusté";"gipon";
1970;"ajusté";"gipon";
1971;"sous vêtement";"chausses";
1972;"parure";"chaussure";
1973;"ajusté";"gipon";
1974;"sous vêtement";"chausses";
1975;"parure";"chaussure";
1976;"intérieur";"malecotte";
1977;"ajusté";"gipon";
1978;"intérieur";"malecotte";
1979;"extérieur";"houpelande";
1980;"sous vêtement";"chausses";
1981;"sous vêtement";"drap linge";
1982;"ajusté";"gipon";
1983;"sous vêtement";"chausses";
1984;"parure";"chaussure";
1985;"extérieur";"houpelande";"double"
1986;"tête";"chaperon";
1987;"sous vêtement";"chausses";
1988;"intérieur";"malecotte";
1989;"extérieur";"mantel";
1990;"sous vêtement";"chausses";
1991;"extérieur";"mantel";"rond"
1992;"ajusté";"gipon";
1993;"intérieur";"malecotte";
1994;"militaire";"chaperon";"de bacinet"
1995;"autre";"bannière";
1996;"intérieur";"malecotte";
1997;"ajusté";"gipon";
1998;"autre";"sac d'emballage";
1999;"ajusté";"gipon";
2000;"militaire";"plate";
2001;"ajusté";"gipon";"à armer"
2002;"ajusté";"gipon";
2003;"sous vêtement";"chausses";
2004;"ajusté";"gipon";
2005;"sous vêtement";"chausses";
2006;"intérieur";"malecotte";
2007;"intérieur";"robe";
2008;"intérieur";"cotte";
2009;"sous vêtement";"chausses";
2010;"intérieur";"robe";
2011;"intérieur";"robe";
2012;"sous vêtement";"chausses";
2013;"autre";"chaussure";
2014;"militaire";"tunique de plate";
2015;"cheval";"couverture";
2016;"ajusté";"gipon";
2017;"mobilier";"chambre";
2018;"autre";"emballage";
2019;"mobilier";"linteamenta";
2020;"intérieur";"corset";
2021;"religieux";"aube";
2022;"religieux";"amict";
2023;"ajusté";"gipon";
2024;"intérieur";"tunique";
2025;"vêtement";"robe";
2026;"intérieur";"tunique";
2027;"tête";"chaperon";"double"
2028;"intérieur";"tunique";
2029;"intérieur";"cotte";
2030;"intérieur";"tunique";
2031;"intérieur";"malecotte";
2032;"intérieur";"cotte";
2033;"ajusté";"gipon";
2034;"tête";"barete";
2035;"tête";"barete";
2036;"extérieur";"mantel";
2037;"ajusté";"aiguillette";
2038;"autre";;
2039;"autre";"robe";
2040;"autre";"ceinture";
2041;"parure";"bourse";
2042;"parure";"ruban";
2043;"tête";"capitegia";
2044;"ajusté";"gipon";
2045;"intérieur";"cotte";
2046;"ajusté";"gipon";
2047;"intérieur";"robe";
2048;"vêtement";"robe";"entier"
2049;"extérieur";"mantel";
2050;"intérieur";"robe";
2051;"intérieur";"robe";
2052;"ouvrage";;
2053;"extérieur";"houpelande";
2054;"ajusté";"jaque";
2055;"extérieur";"mantel";
2056;"intérieur";"robe";
2057;"extérieur";"mantel";
2058;"ajusté";"jaque";
2059;"cheval";"couverture";
2060;"extérieur";"mantel";
2061;"ajusté";"gipon";
2062;"tête";"chaperon";
2063;"sous vêtement";"chausses";
2064;"ajusté";"gipon";
2065;"sous vêtement";"chausses";
2066;"parure";"manche";
2067;"ajusté";"jaque";
2068;"intérieur";"malecotte";
2069;"ajusté";"jaque";
2070;"ajusté";"gipon";
2071;"sous vêtement";"chausses";
2072;"tête";"chaperon";
2073;"ajusté";"jaque";
2074;"intérieur";"tunique";
2075;"ajusté";"gipon";
2076;"ajusté";"gipon";
2077;"tête";"chaperon";
2078;"cheval";"couverture";
2079;"parure";"ruban";
2080;"extérieur";"houpelande";
2081;"intérieur";"malecotte";
2082;"extérieur";"mantel";
2083;"ajusté";"gipon";
2084;"parure";"ruban";
2085;"autre";"couteau";
2086;"extérieur";"mantel";
2087;"intérieur";"malecotte";
2088;"intérieur";"malecotte";
2089;"tête";"chaperon";
2090;"extérieur";"mantel";
2091;"ajusté";"gipon";
2092;"tête";"chaperon";
2093;"parure";"ruban";
2094;"ajusté";"gipon";
2095;"intérieur";"robe";
2096;"extérieur";"houpelande";
2097;"tête";"chaperon";
2098;"ajusté";"gipon";
2099;"ajusté";"gipon";
2100;"extérieur";"houpelande";
2101;"extérieur";"mantel";
2102;"ajusté";"gipon";
2103;"tête";"chaperon";
2104;"extérieur";"mantel";
2105;"mobilier";"gorgière de courtine";
2106;"mobilier";"couverture";
2107;"extérieur";"mantel";
2108;"extérieur";"houpelande";
2110;"extérieur";"houpelande";
2111;"extérieur";"mantel";
2112;"sous vêtement";"chausses";
2113;"intérieur";"cotte";
2114;"extérieur";"mantel";
2115;"intérieur";"cotte";
2116;"extérieur";"mantel";
2117;"parure";"ruban";
2118;"ajusté";"gipon";
2119;"tête";"chaperon";
2120;"sous vêtement";"chausses";
2121;"parure";"estivaux";
2122;"extérieur";"mantel";
2123;"extérieur";"mantel";
2124;"intérieur";"robe";
2125;"tête";"chaperon";
2126;"ajusté";"gipon";
2127;"sous vêtement";"chausses";
2128;"extérieur";"houpelande";"double"
2129;"ajusté";"gipon";
2130;"tête";"chaperon";
2131;"parure";"estivaux";"de Bruxelles"
2132;"extérieur";"mantel";"double"
2133;"extérieur";"mantel";"surplici"
2134;"ajusté";"gipon";
2135;"ajusté";"gipon";
2136;"extérieur";"mantel";"double"
2137;"ajusté";"gipon";
2138;"sous vêtement";"chausses";
2139;"parure";"ruban";
2140;"intérieur";"robe";
2141;"intérieur";"robe";
2142;"ajusté";"gipon";
2143;"intérieur";"robe";
2144;"intérieur";"robe";
2145;"extérieur";"houpelande";"long"
2146;"extérieur";"houpelande";"court"
2147;"tête";"chaperon";
2148;"sous vêtement";"chausses";
2149;"parure";"manche";
2150;"intérieur";"robe";
2151;"intérieur";"robe";
2152;"mobilier";"chambre";
2153;"extérieur";"mantel";"long"
2154;"extérieur";"mantel";"grand"
2155;"sous vêtement";"chausses";
2156;"extérieur";"mantel";
2157;"ajusté";"jaquette";
2158;"extérieur";"mantel";
2159;"extérieur";"mantel";
2160;"ajusté";"jaquette";
2161;"extérieur";"mantel";
2162;"extérieur";"mantel";
2163;"cheval";"couverture de selle";
2164;"parure";"manche";
2165;"ajusté";"jaquette";
2166;"sous vêtement";"chausses";
2167;"extérieur";"mantel";
2168;"extérieur";"mantel";
2169;"extérieur";"mantel";
2170;"ajusté";"jaquette";
2171;"tête";"chaperon";
2172;"ajusté";"jaquette";
2173;"ajusté";"gipon";
2174;"parure";"ruban";"or"
2175;"ajusté";"jaque";
2176;"ajusté";"gipon";
2177;"tête";"chapeau de paille";
2178;"parure";"plume";
2179;"intérieur";"malecotte";
2180;"parure";"ruban";
2181;"extérieur";"houpelande";
2182;"ajusté";"gipon";
2183;"tête";"chaperon";
2184;"intérieur";"robe";"entier"
2185;"extérieur";"mantel";"long"
2186;"ajusté";"gipon";
2187;"tête";"chaperon";
2188;"sous vêtement";"chausses";
2189;"sous vêtement";"chausses";
2190;"sous vêtement";"chausses";
2191;"parure";"rebord";
2192;"extérieur";"mantel";"grand"
2193;"intérieur";"robe";
2194;"extérieur";"mantel";
2195;"sous vêtement";"chausses";
2196;"parure";"manche";
2197;"ajusté";"gipon";
2198;"tête";"chaperon";
2199;"sous vêtement";"chausses";
2200;"extérieur";"houpelande";
2201;"sous vêtement";"chausses";
2202;"tête";"chaperon";
2203;"ajusté";"gipon";
2204;"intérieur";"robe";
2205;"intérieur";"robe";
2206;"cheval";"couverture de selle";
2207;"parure";"manche";
2208;"sous vêtement";"chausses";
2209;"intérieur";"cotte";"à chevaucher"
2210;"parure";"écusson";"à mettre sur bahut"
2211;"sous vêtement";"chausses";
2212;"cheval";"couverture de selle";
2213;"extérieur";"houpelande";
2214;"ajusté";"gipon";
2215;"tête";"chaperon";
2216;"intérieur";"robe";
2217;"intérieur";"robe";
2218;"intérieur";"robe";
2219;"intérieur";"cotte";
2220;"sous vêtement";"chausses";
2221;"sous vêtement";"chausses";
2222;"intérieur";"robe";
2223;"mobilier";"litière";
2224;"intérieur";"robe";
2225;"intérieur";"robe";
2226;"intérieur";"robe";
2227;"intérieur";"robe";
2228;"intérieur";"robe";
2229;"intérieur";"robe";
2230;"intérieur";"robe";
2231;"intérieur";"robe";
2232;"extérieur";"mantel";"double"
2233;"intérieur";"robe";
2234;"extérieur";"houpelande";"double"
2235;"intérieur";"robe";
2236;"sous vêtement";"chausses";
2237;"extérieur";"mantel";"double"
2238;"extérieur";"mantel";"double"
2239;"extérieur";"mantel";
2240;"intérieur";"robe";
2241;"intérieur";"robe";
2242;"extérieur";"mantel";
2243;"cheval";"selle";
2244;"intérieur";"malecotte";
2245;"intérieur";"robe";
2246;"intérieur";"cotte";
2247;"tête";"chaperon";
2248;"intérieur";"cotte";
2249;"intérieur";"robe";
2250;"extérieur";"mantel";
2251;"mobilier";"linceul";
2252;"ajusté";"gipon";
2253;"intérieur";"robe";
2254;"intérieur";"robe";
2255;"sous vêtement";"chausses";
2256;"autre";"emballage";
2257;"intérieur";"robe";
2258;"intérieur";"robe";
2259;"parure";"rebord";
2260;"parure";"manche";
2261;"parure";"rebord";
2262;"intérieur";"robe";
2263;"sous vêtement";"chausses";"à chevaucher"
2264;"ajusté";"gipon";
2265;"sous vêtement";"chausses";
2266;"tête";"chaperon";
2267;"tête";"chaperon";
2268;"extérieur";"mantel";"double"
2269;"extérieur";"houpelande";
2270;"sous vêtement";"chausses";
2271;"sous vêtement";"chausses";
2272;"sous vêtement";"chausses";"cotonée à jouter"
2273;"religieux";"habit";
2274;"extérieur";"mantel";
2275;"extérieur";"mantel";
2276;"tête";"chaperon";
2277;"intérieur";"cotte";
2278;"tête";"chaperon";
2279;"sous vêtement";"chausses";
2280;"sous vêtement";"chausses";
2281;"sous vêtement";"chausses";
2282;"ajusté";"gipon";
2283;"sous vêtement";"chausses";
2284;"tête";"chaperon";
2285;"parure";"manche";
2286;"sous vêtement";"chausses";
2287;"sous vêtement";"chausses";
2288;"tête";"chaperon";
2289;"intérieur";"cotte";
2290;"extérieur";"mantel";"double"
2291;"tête";"chaperon";
2292;"sous vêtement";"chausses";
2293;"sous vêtement";"chausses";
2294;"intérieur";"robe";
2295;"intérieur";"cotte";
2296;"tête";"chaperon";
2297;"extérieur";"mantel";
2298;"cheval";"couverture";
2299;"extérieur";"mantel";"double"
2300;"intérieur";"cotte";
2301;"tête";"chaperon";
2302;"sous vêtement";"chausses";
2303;"extérieur";"houpelande";
2304;"extérieur";"houpelande";
2305;"sous vêtement";"gonelle";
2306;"intérieur";"cotte";
2307;"mobilier";"couverture de chariot";
2308;"extérieur";"houpelande";
2309;"tête";"chaperon";
2310;"autre";"écusson";
2311;"intérieur";"cotte";
2312;"tête";"chaperon";
2313;"sous vêtement";"chausses";
2314;"extérieur";"mantel";"double"
2315;"extérieur";"mantel";
2316;"extérieur";"mantel";"double"
2317;"extérieur";"mantel";
2318;"sous vêtement";"chausses";
2319;"intérieur";"cotte";
2320;"extérieur";"mantel";
2321;"sous vêtement";"chausses";
2322;"intérieur";"cotte";
2323;"tête";"chaperon";
2324;"sous vêtement";"chausses";
2325;"extérieur";"houpelande";
2326;"intérieur";"robe";
2327;"intérieur";"cotte";
2328;"tête";"chaperon";
2329;"intérieur";"cotte";
2330;"sous vêtement";"braye";
2331;"sous vêtement";"chausses";
2332;"vêtement";"robe";"entier"
2333;"intérieur";"robe";
2334;"intérieur";"cotte";"à chevaucher"
2335;"extérieur";"mantel";
2336;"parure";"mitaine";
2337;"ajusté";"gipon";"à armer"
2338;"sous vêtement";"chausses";
2339;"extérieur";"mantel";
2340;"sous vêtement";"chausses";"à jouter"
2341;"intérieur";"solar";"grand"
2342;;;
2343;"sous vêtement";"chausses";
2344;"parure";"manche";
2345;"tête";"chaperon";
2346;"extérieur";"houpelande";
2347;"ajusté";"gipon";
2348;"sous vêtement";"chausses";
2349;"tête";"chaperon";
2350;"ajusté";"landier";
2351;"ajusté";"gipe";
2352;"ajusté";"gipon";
2353;"ajusté";"gipon";
2354;"intérieur";"cotte";
2355;"tête";"chaperon";
2356;"extérieur";"mantel";"double"
2357;"extérieur";"mantel";
2358;"ajusté";"gipon";
2359;"sous vêtement";"chausses";"à armer"
2360;"ajusté";"gipon";
2361;"sous vêtement";"bracata";"à armer"
2362;"ajusté";"jaque";
2363;"ajusté";"jaque";
2364;"autre";"pennon";"grand"
2365;"autre";"bandière pour trompette";
2366;"ajusté";"gipon";
2367;"sous vêtement";"chausses";
2368;"tête";"chaperon";
2369;"parure";"manche";
2370;"sous vêtement";"chausses";
2371;"tête";"chaperon";
2372;"sous vêtement";"chausses";
2373;;;
2374;"tête";"chaperon";
2375;"ajusté";"gipon";
2376;"ajusté";"gipon";
2377;"intérieur";"malecotte";
2379;"intérieur";"corset";
2380;"intérieur";"malecotte";
2381;"tête";"chaperon";
2382;"ajusté";"gipon";
2383;;;
2384;"tête";"chaperon";
2385;"sous vêtement";"chausses";
2386;"mobilier";"chambre";
2387;"autre";"sac";
2388;"mobilier";"couverture";
2389;"intérieur";"malecotte";
2390;"mobilier";"nappe à écrire les comptes";
2391;"vêtement";"veste";
2392;"vêtement";"veste";
2393;"intérieur";"cotte";
2394;"tête";"chaperon";
2395;"sous vêtement";"chausses";
2396;"intérieur";"cotte";
2397;"intérieur";"robe";
2398;"vêtement";"veste";
2399;"intérieur";"cotte";
2400;"ajusté";"gipon";
2401;"intérieur";"cotte";
2402;"intérieur";"robe";
2403;"intérieur";"cotte";
2404;"tête";"chaperon";
2405;"cheval";"couverture";
2406;"vêtement";"garnement";
2407;"intérieur";"robe";
2408;"ajusté";"gipon";
2409;"mobilier";"pavillon";
2410;"sous vêtement";"chausses";
2411;"extérieur";"mantel";"double à chevaucher"
2412;"intérieur";"robe";
2413;"intérieur";"robe";
2414;"parure";"manche";
2415;"sous vêtement";"chausses";
2416;"intérieur";"robe";
2417;"extérieur";"mantel";
2418;"intérieur";"malecotte";
2419;"vêtement";"veste";
2420;"intérieur";"robe";
2421;"extérieur";"mantel";"double"
2422;"mobilier";"coussin";
2423;"sous vêtement";"chausses";
2424;"vêtement";"veste";"long à 3 garnements"
2425;"intérieur";"cotte";"à chevaucher"
2426;"vêtement";"veste";
2427;"extérieur";"mantel";"double"
2428;"sous vêtement";"chausses";
2429;"parure";"manche";
2430;"intérieur";"cotte";
2431;"extérieur";"mantel";
2432;"intérieur";"tunique";
2433;"intérieur";"cotte";
2434;"extérieur";"mantel";
2435;"intérieur";"cotte";
2436;"sous vêtement";"chausses";
2437;"parure";"manche";
2438;"sous vêtement";"chausses";
2439;"intérieur";"cotte";
2440;"extérieur";"mantel";
2441;"sous vêtement";"chausses";
2442;"tête";"chaperon";
2443;"sous vêtement";"pelisson";
2444;"parure";"écusson";"armes de savoie et genève"
2445;"intérieur";"robe";
2446;"sous vêtement";"chausses";
2447;"sous vêtement";"chausses";
2448;"intérieur";"cotte";
2449;"extérieur";"mantel";
2450;"parure";"manche";
2451;"sous vêtement";"tunique";
2452;"intérieur";"cotte";
2453;"sous vêtement";"chausses";
2454;"intérieur";"cotte";
2455;"tête";"chaperon";
2456;"extérieur";"mantel";
2457;"tête";"chaperon";
2458;"sous vêtement";"chausses";
2459;"sous vêtement";"chausses";
