"Id";"Type";"Nature";"Caracteristique"
5278;"vêtement";"robe";
5279;"extérieur";"mantel";
5280;"extérieur";"houpelande";
5281;"sous vêtement";"chausses";
5282;"vêtement";"robe";
5283;"vêtement";"robe";
5284;"vêtement";"robe";
5285;"vêtement";"robe";
5286;"vêtement";"robe";
5287;"vêtement";"robe";
5288;"vêtement";"robe";
5289;"vêtement";"robe";
5290;"vêtement";"robe";"brodé aux assises"
5291;"vêtement";"robe";"à grand manche"
5292;"vêtement";"robe";
5293;"vêtement";"robe";
5294;"vêtement";"robe";
5295;"vêtement";"robe";
5296;"vêtement";"robe";
5297;"vêtement";"robe";
5298;"vêtement";"robe";
5299;"vêtement";"robe";
5300;"vêtement";"robe";
5301;"vêtement";"robe";
5302;"sous vêtement";"chausses";
5303;"vêtement";"robe";
5304;"extérieur";"mantel";"double"
5305;"cheval";"couverture de selle";
5306;"cheval";"garnison";
5307;"vêtement";"robe";
5308;"vêtement";"robe";
5309;"sous vêtement";"chausses";
5310;"vêtement";"robe";"double"
5311;"vêtement";"robe";
5312;"vêtement";"robe";
5313;"tête";"coiffe";
5314;"militaire";"gaine d'épée";
5315;"parure";"gant";
5316;"parure";"gant";
5317;"ouvrage";"inconnue";
5318;"ajusté";"gipon";"petit"
5319;"parure";"escafinion";
5320;"sous vêtement";"chausses";
5321;"militaire";"bannière";
5322;"vêtement";"robe";
5323;"vêtement";"robe";
5324;"vêtement";"robe";
5325;"sous vêtement";"chausses";
5326;"vêtement";"robe";
5327;"sous vêtement";"chausses";
5328;"vêtement";"robe";
5329;"militaire";"bandière";
5330;"vêtement";"robe";
5331;"vêtement";"robe";
5332;"vêtement";"robe";
5333;"vêtement";"robe";
5334;"vêtement";"robe";
5335;"sous vêtement";"chausses";
5336;"vêtement";"robe";"double"
5337;"tête";"chaperon";
5338;"sous vêtement";"chausses";
5339;"vêtement";"robe";"italienne brodé de lacs"
5340;"tête";"chaperon";
5341;"vêtement";"robe";"italienne brodé faucon"
5342;"vêtement";"robe";"italienne brodé chataigni"
