"compteFab";"numFab";"IdFab";"compteMP";"numMP";"IdMP";"TypeMesure";"Quantite";"Unite";"provenance_mesure";"Conversion";"usage"
"1MI33, r. 7 et r.8, 28";4109;2362;"1MI33, r. 7 et r.8, 28";4109;3983;"longueur";24,00;"aune";;;
"1MI33, r. 7 et r.8, 28";4110;2363;"1MI33, r. 7 et r.8, 28";4110;3984;"longueur";5,00;"aune";;;
"1MI33, r. 7 et r.8, 28";4111;2364;"1MI33, r. 7 et r.8, 28";4111;3985;"pelleterie";8,00;"peau";;;"doublure"
"1MI33, r. 7 et r.8, 28";4114;2365;"1MI33, r. 7 et r.8, 28";4114;3989;"longueur";;"aune";;;
"1MI33, r. 7 et r.8, 28";4114;2366;"1MI33, r. 7 et r.8, 28";4114;3989;"longueur";;"aune";;;
"1MI33, r. 7 et r.8, 28";4114;2367;"1MI33, r. 7 et r.8, 28";4114;3989;"longueur";;"aune";;;
"1MI33, r. 7 et r.8, 28";4115;2368;"1MI33, r. 7 et r.8, 28";4114;3989;"longueur";;"aune";;;
"1MI33, r. 7 et r.8, 28";4116;2369;"1MI33, r. 7 et r.8, 28";4116;3990;"longueur";2,00;"aune";;;
"1MI33, r. 7 et r.8, 28";4116;2370;"1MI33, r. 7 et r.8, 28";4116;3990;"longueur";;"aune";;;
"1MI33, r. 7 et r.8, 28";4116;2370;"1MI33, r. 7 et r.8, 28";4116;3991;"longueur";;"aune";;;
"1MI33, r. 7 et r.8, 28";4116;2371;"1MI33, r. 7 et r.8, 28";4116;3991;"longueur";;"aune";;;
"1MI33, r. 7 et r.8, 28";4118;2373;"1MI33, r. 7 et r.8, 28";4118;3994;"longueur";;"aune";;;
"1MI33, r. 7 et r.8, 28";4119;2374;"1MI33, r. 7 et r.8, 28";4119;3995;"longueur";5,00;"aune";;;
"1MI33, r. 7 et r.8, 28";4120;2375;"1MI33, r. 7 et r.8, 28";4119;3995;"longueur";;"aune";;;
"1MI33, r. 7 et r.8, 28";4120;2375;"1MI33, r. 7 et r.8, 28";4120;3996;"longueur";;"aune";;;
"1MI33, r. 7 et r.8, 28";4120;2375;"1MI33, r. 7 et r.8, 28";4120;3997;"longueur";;"aune";;;
"1MI33, r. 7 et r.8, 28";4120;2375;"1MI33, r. 7 et r.8, 28";4120;3998;"longueur";;"aune";;;
"1MI33, r. 7 et r.8, 28";4120;2376;"1MI33, r. 7 et r.8, 28";4120;3996;"longueur";;"aune";;;
"1MI33, r. 7 et r.8, 28";4120;2376;"1MI33, r. 7 et r.8, 28";4120;3997;"longueur";;"aune";;;
"1MI33, r. 7 et r.8, 28";4120;2376;"1MI33, r. 7 et r.8, 28";4120;3998;"longueur";;"aune";;;
"1MI33, r. 7 et r.8, 28";4121;2377;"1MI33, r. 7 et r.8, 28";4120;3996;"longueur";;"aune";;;
"1MI33, r. 7 et r.8, 28";4121;2377;"1MI33, r. 7 et r.8, 28";4120;3997;"longueur";;"aune";;;
"1MI33, r. 7 et r.8, 28";4121;2377;"1MI33, r. 7 et r.8, 28";4120;3998;"longueur";;"aune";;;
"1MI33, r. 7 et r.8, 28";4121;2378;"1MI33, r. 7 et r.8, 28";4120;3996;"longueur";;"aune";;;
"1MI33, r. 7 et r.8, 28";4121;2378;"1MI33, r. 7 et r.8, 28";4120;3997;"longueur";;"aune";;;
"1MI33, r. 7 et r.8, 28";4121;2378;"1MI33, r. 7 et r.8, 28";4120;3998;"longueur";;"aune";;;
"1MI33, r. 7 et r.8, 28";4121;2379;"1MI33, r. 7 et r.8, 28";4120;3996;"longueur";;"aune";;;
"1MI33, r. 7 et r.8, 28";4121;2379;"1MI33, r. 7 et r.8, 28";4120;3997;"longueur";;"aune";;;
"1MI33, r. 7 et r.8, 28";4121;2379;"1MI33, r. 7 et r.8, 28";4120;3998;"longueur";;"aune";;;
"1MI33, r. 7 et r.8, 28";4124;2380;"1MI33, r. 7 et r.8, 28";4124;4001;"pelleterie";;"bête (centaine)";;;"rebords"
"1MI33, r. 7 et r.8, 28";4124;2380;"1MI33, r. 7 et r.8, 28";4124;4002;"pelleterie";600,00;"bête (centaine)";;;"rebords"
"1MI33, r. 7 et r.8, 28";4124;2380;"1MI33, r. 7 et r.8, 28";4124;4003;"unité";;"douzaine";;;"rebords"
"1MI33, r. 7 et r.8, 28";4124;2381;"1MI33, r. 7 et r.8, 28";4124;4001;"pelleterie";;"bête (centaine)";;;"pondant"
"1MI33, r. 7 et r.8, 28";4124;2381;"1MI33, r. 7 et r.8, 28";4124;4002;"pelleterie";;"bête (centaine)";;;"pondant"
"1MI33, r. 7 et r.8, 28";4124;2381;"1MI33, r. 7 et r.8, 28";4124;4003;"unité";;"douzaine";;;"pondant"
"1MI33, r. 7 et r.8, 28";4127;2382;"1MI33, r. 7 et r.8, 28";4127;4004;"longueur";14,00;"aune";;;"rebords"
"1MI33, r. 9, 31";764;686;"1MI33, r. 9, 31";764;728;"longueur";;"aune";;;
"1MI33, r. 9, 31";764;687;"1MI33, r. 9, 31";764;728;"longueur";;"aune";;;
"1MI33, r. 9, 31";764;688;"1MI33, r. 9, 31";764;728;"longueur";;"aune";;;
"1MI33, r. 9, 31";765;689;"1MI33, r. 9, 31";765;729;"longueur";6,00;"aune";;;
"1MI33, r. 9, 31";766;690;"1MI33, r. 9, 31";766;730;"longueur";;"drap";;;
"1MI33, r. 9, 31";767;691;"1MI33, r. 9, 31";767;731;"pelleterie";;"peau";;;
"1MI33, r. 9, 31";768;694;"1MI33, r. 9, 31";768;732;"longueur";4,00;"aune";;;
"1MI33, r. 9, 31";793;703;"1MI33, r. 9, 31";793;756;"longueur";1,00;"aune";;;
"1MI33, r. 9, 31";801;704;"1MI33, r. 9, 31";800;764;"longueur";;"aune";;;
"1MI33, r. 9, 31";801;704;"1MI33, r. 9, 31";801;765;"longueur";;"aune";;;
"1MI33, r. 9, 31";802;705;"1MI33, r. 9, 31";802;766;"longueur";;"aune";;;
"1MI33, r. 9, 31";803;706;"1MI33, r. 9, 31";803;767;"pelleterie";;"fourrure";;;
"1MI33, r. 9, 31";810;707;"1MI33, r. 9, 31";810;778;"longueur";4,00;"aune";;;
"1MI33, r. 9, 31";817;708;"1MI33, r. 9, 31";817;786;"longueur";1,00;"aune";;;
"1MI33, r. 9, 31";820;709;"1MI33, r. 9, 31";820;787;"longueur";7,00;"aune";;;
"1MI33, r. 9, 31";822;711;"1MI33, r. 9, 31";822;789;"poids";4,46;"livre";;;
"1MI33, r. 9, 31";822;712;"1MI33, r. 9, 31";822;792;"longueur";12,00;"aune";;;
"1MI33, r. 9, 31";828;716;"1MI33, r. 9, 31";828;793;"pelleterie";3,00;"fourrure";;;
"1MI33, r. 9, 31";829;717;"1MI33, r. 9, 31";829;794;"longueur";3,25;"aune";;;
"1MI33, r. 9, 31";834;718;"1MI33, r. 9, 31";834;798;"longueur";5,00;"aune";;;
"1MI33, r. 9, 31";836;719;"1MI33, r. 9, 31";836;800;"pelleterie";1,00;"fourrure";;;
"1MI33, r. 9, 31";837;720;"1MI33, r. 9, 31";837;801;"pelleterie";1,00;"fourrure";;;
"1MI33, r. 9, 31";838;721;"1MI33, r. 9, 31";838;802;"longueur";3,00;"aune";;;
"1MI33, r. 9, 31";838;721;"1MI33, r. 9, 31";838;803;"poids";1,00;"once";;;
"1MI33, r. 9, 31";838;721;"1MI33, r. 9, 31";838;804;"poids";2,00;"once";;;
"1MI33, r. 9, 31";838;721;"1MI33, r. 9, 31";838;805;"poids";1,00;"once";;;
"1MI33, r. 9, 31";843;722;"1MI33, r. 9, 31";843;810;"longueur";3,00;"aune";;;
"1MI33, r. 9, 31";844;723;"1MI33, r. 9, 31";844;811;"longueur";;"aune";;;
"1MI33, r. 9, 31";851;724;"1MI33, r. 9, 31";851;816;"longueur";;"aune";;;
"1MI33, r. 9, 31";855;725;"1MI33, r. 9, 31";855;820;"longueur";1,00;"aune";;;
"1MI33, r. 9, 31";857;726;"1MI33, r. 9, 31";857;822;"longueur";;"aune";;;
"1MI33, r. 9, 31";858;727;"1MI33, r. 9, 31";858;823;"longueur";;"aune";;;
"1MI33, r. 9, 31";859;728;"1MI33, r. 9, 31";859;824;"longueur";;"aune";;;
"1MI33, r. 9, 31";864;730;"1MI33, r. 9, 31";864;827;"longueur";;"aune";;;
"1MI33, r. 9, 31";868;731;"1MI33, r. 9, 31";868;829;"longueur";61,00;"aune";;;
"1MI33, r. 9, 31";868;731;"1MI33, r. 9, 31";868;830;"longueur";78,00;"aune";;;
"1MI33, r. 9, 31";868;731;"1MI33, r. 9, 31";868;831;"longueur";77,00;"aune";;;
"1MI33, r. 9, 31";868;731;"1MI33, r. 9, 31";868;832;"longueur";54,00;"aune";;;
"1MI33, r. 9, 31";868;731;"1MI33, r. 9, 31";868;833;"longueur";63,00;"aune";;;
"1MI33, r. 9, 31";868;731;"1MI33, r. 9, 31";868;834;"longueur";106,00;"aune";;;
"1MI33, r. 9, 31";868;731;"1MI33, r. 9, 31";868;835;"longueur";110,00;"aune";;;
"1MI33, r. 9, 31";868;731;"1MI33, r. 9, 31";868;836;"longueur";106,00;"aune";;;
"1MI33, r. 9, 31";874;733;"1MI33, r. 9, 31";874;842;"longueur";2,00;"aune";;;
"1MI33, r. 9, 31";875;734;"1MI33, r. 9, 31";875;843;"longueur";5,00;"aune";;;
"1MI33, r. 9, 31";876;735;"1MI33, r. 9, 31";876;844;"longueur";;"aune";;;
"1MI33, r. 9, 31";876;736;"1MI33, r. 9, 31";876;844;"longueur";;"aune";;;
"1MI33, r. 9, 31";876;737;"1MI33, r. 9, 31";876;844;"longueur";;"aune";;;
"1MI33, r. 9, 31";878;738;"1MI33, r. 9, 31";878;846;"longueur";;"aune";;;
"1MI33, r. 9, 31";880;739;"1MI33, r. 9, 31";880;848;"longueur";5,50;"aune";;;
"1MI33, r. 9, 31";882;740;"1MI33, r. 9, 31";882;850;"longueur";5,00;"aune";;;
"1MI33, r. 9, 31";886;741;"1MI33, r. 9, 31";886;854;"longueur";7,50;"aune";;;
"1MI33, r. 9, 31";887;742;"1MI33, r. 9, 31";887;855;"longueur";;"aune";;;
