"Parure";"Materiaux";"TypeMesure";"Quantite";"Unite";"provenance_mesure";"Conversion";"Materiaux_Achete";"usage"
41;55;"longueur";;;;;0;
93;111;"longueur";;;;;0;
102;116;"longueur";;"aune";;;0;
103;117;"longueur";;;;;0;
104;118;"longueur";;"aune";;;0;
114;119;"longueur";;"aune";;;0;
122;124;"longueur";;"aune";;;0;
123;125;"longueur";;"aune";;;0;
124;128;"longueur";;"aune";;;0;
125;130;"longueur";;"aune";;;0;
127;132;"longueur";;"aune";;;0;
128;134;"longueur";;"aune";;;0;
129;135;"longueur";;"aune";;;0;
133;136;"longueur";;"aune";;;0;
134;137;"longueur";;"aune";;;0;
135;138;"longueur";;"aune";;;0;
136;139;"longueur";;"aune";;;0;
138;140;"longueur";;"aune";;;0;
141;142;"longueur";;"aune";;;0;
146;148;"longueur";;"aune";;;0;
162;168;"longueur";;"aune";;;0;
163;169;;;;;;0;
165;175;"longueur";;"aune";;;0;"carreaux"
165;176;"longueur";;"aune";;;0;"carreaux"
166;177;"longueur";;"aune";;;0;
171;180;"longueur";;"aune";;;0;
177;187;"longueur";;"aune";;;0;
189;190;"longueur";;"aune";;;0;
207;209;"longueur";;"aune";;;0;
267;260;"longueur";;"aune";;;0;
268;261;"longueur";;"aune";;;0;
269;262;"longueur";;"aune";;;0;
311;305;"longueur";;"aune";;;0;
312;306;"longueur";;"aune";;;0;
338;324;"longueur";;"aune";;;0;
339;325;"longueur";;"aune";;;0;
340;326;"longueur";;"aune";;;0;
341;327;"longueur";;"aune";;;0;
342;328;"longueur";;"aune";;;0;
369;360;"longueur";;"aune";;;0;
467;465;"longueur";;"aune";;;0;
469;470;"longueur";;"aune";;;0;
470;469;"longueur";;"aune";;;0;
471;471;"longueur";;"aune";;;0;
473;478;"longueur";;"aune";;;0;
480;483;"longueur";;"aune";;;0;
481;484;"longueur";;"aune";;;0;
484;485;"longueur";;"aune";;;0;
492;496;"longueur";;"aune";;;0;
493;497;"longueur";;"aune";;;0;
494;498;"longueur";;"aune";;;0;
499;499;"longueur";;"aune";;;0;
500;500;"longueur";;"aune";;;0;
501;501;"longueur";;"aune";;;0;
502;502;"longueur";;"aune";;;0;
520;531;"longueur";;"aune";;;0;
522;533;"longueur";;"aune";;;0;
524;534;"longueur";;"aune";;;0;
525;535;"longueur";;"aune";;;0;
530;545;"longueur";;"aune";;;0;
533;547;"longueur";;"aune";;;0;
534;548;"longueur";;"aune";;;0;
591;588;"longueur";;"aune";;;0;
603;595;"longueur";;"aune";;;0;
603;596;"longueur";;"aune";;;0;
603;597;"longueur";;"aune";;;0;
612;606;"longueur";;"aune";;;0;
617;607;"longueur";;"aune";;;0;
619;608;"longueur";;"aune";;;0;
620;609;"longueur";;"aune";;;0;
621;610;"longueur";;"aune";;;0;
637;630;"longueur";;"aune";;;0;
662;652;"longueur";;"aune";;;0;
687;680;"longueur";;"aune";;;0;
687;681;"longueur";;"aune";;;0;
696;693;"longueur";;"aune";;;0;
726;715;"longueur";;"aune";;;0;
730;719;"longueur";;"aune";;;0;
731;720;"longueur";;"aune";;;0;
740;727;"longueur";;"aune";;;0;
746;738;"longueur";;"aune";;;0;
769;772;"longueur";;"aune";;;0;
801;840;"longueur";;"aune";;;0;
896;970;"longueur";;"aune";;;0;
963;1163;"longueur";;"aune";;;0;
965;1165;"longueur";;"aune";;;0;
973;1173;"longueur";;"aune";;;0;
977;1178;"longueur";;"aune";;;0;
978;1179;"longueur";;"aune";;;0;
983;1183;"longueur";;"aune";;;0;
992;1187;"longueur";;"aune";;;0;
1017;1229;"longueur";;"aune";;;0;
1030;1234;"longueur";;"aune";;;0;
1044;1272;"longueur";;"aune";;;0;
1064;1292;"longueur";;"aune";;;0;
1065;1293;"longueur";;"aune";;;0;
1066;1294;"longueur";;"aune";;;0;
1067;1295;"longueur";;"aune";;;0;
1071;1296;"longueur";;"aune";;;0;
1072;1297;"longueur";;"aune";;;0;
1076;1300;"longueur";;"aune";;;0;
1077;1299;"longueur";;"aune";;;0;
1078;1298;"longueur";;"aune";;;0;
1097;1315;"longueur";;"aune";;;0;
1098;1316;"longueur";;"aune";;;0;
1105;1319;"longueur";;"aune";;;0;
1106;1320;"longueur";;"aune";;;0;
1107;1321;"longueur";;"aune";;;0;
1110;1322;"longueur";;"aune";;;0;
1111;1323;"longueur";;"aune";;;0;
1112;1324;"longueur";;"aune";;;0;
1113;1325;"longueur";;"aune";;;0;
1114;1326;"longueur";;"aune";;;0;
1115;1327;"longueur";;"aune";;;0;
1116;1328;"longueur";;"aune";;;0;
1117;1329;"longueur";;"aune";;;0;
1118;1330;"longueur";;"aune";;;0;
1145;1344;"longueur";;"aune";;;0;
1147;1348;"longueur";;"aune";;;0;
1147;1349;"longueur";;"aune";;;0;
1158;1364;"longueur";;"aune";;;0;
1159;1365;"longueur";;"aune";;;0;
1160;1366;"longueur";;"aune";;;0;
1161;1367;"longueur";;"aune";;;0;
1164;1369;"longueur";;"aune";;;0;
1165;1370;"longueur";;"aune";;;0;
1166;1371;"longueur";;"aune";;;0;
1167;1372;"longueur";3,00;"pièce";;;0;
1172;1373;"longueur";;"aune";;;0;
1175;1374;"longueur";;"aune";;;0;
1176;1375;"longueur";5,00;"sarge";;;0;
1177;1376;"longueur";1,00;"sarge";;;0;
1179;1377;"longueur";36,00;"aune";;;0;
1180;1381;"longueur";;"aune";;;0;
1181;1382;"longueur";;"aune";;;0;
1183;1385;"longueur";;"aune";;;0;
1184;1386;"longueur";;"aune";;;0;
1185;1387;"longueur";;"aune";;;0;
1186;1388;"longueur";;"aune";;;0;
1187;1389;"longueur";;"aune";;;0;
1188;1390;"longueur";;"aune";;;0;
1198;1411;"longueur";;"aune";;;0;
1199;1412;"longueur";;"aune";;;0;
1212;1426;"longueur";;"aune";;;0;
1213;1427;"longueur";;"aune";;;0;
1217;1428;"longueur";;"aune";;;0;
1217;1429;"longueur";;"aune";;;0;
1223;1436;"longueur";;"aune";;;0;
1224;1437;"longueur";;"aune";;;0;
1245;1448;"longueur";;"aune";;;0;
1246;1450;"longueur";;"aune";;;0;
1247;1449;"longueur";;"aune";;;0;
1264;1463;"longueur";;"aune";;;0;
1290;1485;"longueur";;"aune";;;0;
1291;1486;"longueur";;"aune";;;0;
1301;1523;"longueur";;"aune";;;0;
1307;1532;"longueur";;"aune";;;0;
1322;1540;"longueur";;"aune";;;0;
1322;1541;"longueur";;"aune";;;0;
1325;1547;"longueur";;"aune";;;0;
1348;1573;"longueur";;"aune";;;0;
1349;1574;"longueur";;"aune";;;0;
1350;1575;"longueur";;"aune";;;0;
1381;1615;"longueur";;"aune";;;0;
1418;1682;"longueur";;"aune";;;0;
1472;1769;"longueur";;"aune";;;0;
1473;1770;"longueur";;"aune";;;0;
1476;1776;"longueur";;"aune";;;0;
1477;1781;"longueur";;"aune";;;0;
1495;1806;"longueur";;"aune";;;0;
1496;1808;"longueur";;"aune";;;0;
1503;1821;"longueur";;"aune";;;0;
1504;1822;"longueur";;"aune";;;0;
1506;1827;"longueur";;"aune";;;0;
1538;1876;"longueur";;"aune";;;0;
1539;1877;"longueur";;"aune";;;0;
1540;1878;"longueur";;"aune";;;0;
1541;1879;"longueur";;"aune";;;0;
1579;1945;"longueur";8,00;"aune";;;0;
1597;1961;"longueur";;"aune";;;0;
1609;1969;"longueur";;"aune";;;0;"doublure"
1624;1986;"longueur";;"aune";;;0;
1625;1987;"longueur";;"aune";;;0;
1626;1988;"longueur";;"aune";;;0;
1632;2004;"longueur";;"aune";;;0;
1634;2006;"longueur";;"aune";;;0;
1637;2013;"longueur";;"aune";;;0;
1638;2014;"longueur";;"aune";;;0;
1639;2015;"longueur";;"aune";;;0;
1653;2100;"longueur";;"aune";;;0;
1654;2104;"longueur";;"aune";;;0;
1656;2113;"longueur";;"aune";;;0;
1668;2127;"longueur";;"aune";;;0;
1709;2174;"longueur";;"aune";;;0;
1714;2180;"longueur";;"aune";;;0;
1720;2192;"longueur";;"aune";;;0;
1721;2193;"longueur";;"aune";;;0;
1723;2197;"longueur";;"aune";;;0;
1749;2226;"longueur";;"aune";;;0;
1750;2227;"longueur";;"aune";;;0;
1773;2260;"longueur";;"aune";;;0;
1795;2286;"longueur";;"aune";;;0;
1845;2385;"longueur";;"aune";;;0;
1849;2390;"longueur";;"aune";;;0;
1868;2426;"longueur";;"aune";;;0;
1871;2429;"longueur";;"aune";;;0;
1881;2448;"longueur";;"aune";;;0;
1893;2463;"longueur";;"aune";;;0;
1900;2469;"longueur";;"aune";;;0;
1901;2472;"longueur";;"aune";;;0;
1902;2473;"longueur";;"aune";;;0;
1911;2478;"longueur";;"aune";;;0;
1923;2495;"longueur";;"aune";;;0;
1926;2506;"longueur";;"aune";;;0;
1942;2518;"longueur";;"aune";;;0;
1967;2527;"longueur";;"aune";;;0;
1990;2541;"longueur";;"aune";;;0;
2010;2575;"longueur";;"aune";;;0;
2014;2580;"longueur";;"aune";;;0;
2015;2583;"longueur";;"aune";;;0;
2034;2650;"longueur";;"aune";;;0;
2035;2651;"longueur";;"aune";;;0;
2037;2653;"longueur";;"aune";;;0;
2040;2658;"longueur";;"aune";;;0;
2041;2659;"longueur";;"aune";;;0;
2044;2661;"longueur";;"aune";;;0;
2066;2692;"longueur";;"aune";;;0;
2093;2718;"longueur";;"aune";;;0;
2134;2764;"longueur";;"aune";;;0;
2135;2765;"longueur";;"aune";;;0;
2139;2770;"longueur";;"aune";;;0;
2149;2779;"longueur";;"aune";;;0;
2191;2816;"longueur";;"aune";;;0;
2270;2900;"longueur";;"aune";;;0;
2321;2971;"longueur";;"aune";;;0;
2336;3002;"pelleterie";;"dos";;;0;"doublure"
2379;3044;"longueur";;"aune";;;0;
2386;3051;"longueur";;"aune";;;0;
2414;3115;"pelleterie";64,00;"bête";;;0;
2436;3169;"longueur";;"aune";;;0;
2444;3184;"longueur";;"aune";;;0;
2453;3203;"longueur";;"aune";;;0;
2469;3216;"longueur";;"aune";;;0;
2478;3217;"longueur";;"aune";;;0;
2508;3243;"longueur";;"aune";;;0;
2524;3281;"longueur";;"aune";;;0;
2525;3282;"longueur";;"aune";;;0;
2554;3347;"longueur";;"aune";;;0;
2555;3348;"longueur";;"aune";;;0;
2559;3353;"longueur";;"aune";;;0;
2562;3358;"longueur";;"aune";;;0;
2610;3417;"longueur";;"aune";;;0;
2611;3420;"longueur";;"aune";;;0;
2686;3541;"pelleterie";;"dos";;;0;
2687;3542;"longueur";;"aune";;;0;"doublure"
2688;3543;"pelleterie";;"dos";;;0;"doublure"
2689;3544;"longueur";;"aune";;;0;"doublure"
2690;3545;"longueur";;"aune";;;0;"doublure"
2691;3546;"longueur";;"aune";;;0;"doublure"
2692;3547;"longueur";;"aune";;;0;
2693;3548;"longueur";;"aune";;;0;
2700;3552;"longueur";;"aune";;;0;
2717;3578;"longueur";;"aune";;;0;
2719;3580;"longueur";;"aune";;;0;
2722;3587;"longueur";;"aune";;;0;
2724;3594;"longueur";;"aune";;;0;
2726;3595;"longueur";;"aune";;;0;
2731;3602;"longueur";;"aune";;;0;
2738;3608;"longueur";;"aune";;;0;
2739;3609;"longueur";;"aune";;;0;
2765;3657;"longueur";;"aune";;;0;
2766;3659;"longueur";;"aune";;;0;
2798;3722;"pelleterie";;"dos";;;0;"doublure"
2799;3723;"longueur";;"aune";;;0;"doublure"
2804;3731;"longueur";;"aune";;;0;
2810;3734;"longueur";;"aune";;;0;
2878;3827;"longueur";;"aune";;;0;
2892;3841;"longueur";;"aune";;;0;
2898;3845;"longueur";;"aune";;;0;
2900;3848;"longueur";;"aune";;;0;
2925;3898;"longueur";;"aune";;;0;
2927;3899;"longueur";;"aune";;;0;
2946;3920;"longueur";;"aune";;;0;
2947;3921;"longueur";;"aune";;;0;
2952;3943;"longueur";;"aune";;;0;
2956;3951;"longueur";;"aune";;;0;
2959;3954;"longueur";;"aune";;;0;
2960;3952;"longueur";;"aune";;;0;
2961;3953;"longueur";;"aune";;;0;
2962;3955;"longueur";;"aune";;;0;
2963;3956;"longueur";;"aune";;;0;
2984;3994;"longueur";;"aune";;;0;
2985;3997;"longueur";;"aune";;;0;
2986;3998;"longueur";;"aune";;;0;
2990;4002;"longueur";;"aune";;;0;
2991;4005;"longueur";;"aune";;;0;
2992;4006;"longueur";;"aune";;;0;
2999;4016;"longueur";;"aune";;;0;
3000;4019;"longueur";;"aune";;;0;
3023;4102;"longueur";;"aune";;;0;
3050;4149;"longueur";;"aune";;;0;
3116;4217;"longueur";;"aune";;;0;
3119;4220;"longueur";;"aune";;;0;
3128;4239;"longueur";;"aune";;;0;
3129;4240;"longueur";;"aune";;;0;
3130;4241;"longueur";;"aune";;;0;
3131;4242;"longueur";;"aune";;;0;
3136;4247;"longueur";;"aune";;;0;
3138;4251;"longueur";;"aune";;;0;
3223;4339;"longueur";;"aune";;;0;
3230;4347;"longueur";;"aune";;;0;
3246;4415;"longueur";;"aune";;;0;
3247;4416;"longueur";;"aune";;;0;
3345;4599;"longueur";;"aune";;;0;
3346;4600;"longueur";;"aune";;;0;"garnison"
3349;4612;"longueur";;"aune";;;0;
3350;4618;"longueur";;"aune";;;0;
3351;4624;"longueur";;"aune";;;0;
3352;4625;"longueur";;"aune";;;0;
3358;4631;"longueur";;"aune";;;0;
3359;4632;"longueur";;"aune";;;0;
3360;4633;"longueur";;"aune";;;0;
3365;4647;"longueur";;"aune";;;0;
3383;4666;"longueur";;"aune";;;0;
3459;4744;"longueur";;"aune";;;0;
3460;4745;"longueur";;"aune";;;0;
3468;4748;"longueur";;"aune";;;0;
3489;4773;"longueur";;"aune";;;0;
3490;4774;"longueur";;"aune";;;0;
3505;4803;"longueur";;"aune";;;0;
3513;4828;"longueur";;"aune";;;0;
3528;4847;"longueur";;"aune";;;0;
3540;4866;"longueur";;"aune";;;0;
3551;4901;"longueur";;"aune";;;0;
3563;4949;"longueur";;"aune";;;0;
3565;4955;"longueur";;"aune";;;0;
3571;4960;"longueur";;"aune";;;0;
3586;4975;"longueur";;"aune";;;0;
3605;4990;"longueur";;"aune";;;0;
3606;4991;"longueur";;"aune";;;0;
3607;4992;"longueur";;"aune";;;0;
3608;4993;"longueur";;"aune";;;0;
3616;4994;"longueur";;"aune";;;0;
3633;5014;"longueur";;"aune";;;0;
3638;5017;"longueur";;"aune";;;0;
3639;5018;"longueur";;"aune";;;0;
3640;5019;"longueur";;"aune";;;0;
3641;5016;"longueur";;"aune";;;0;
3642;5020;"longueur";;"aune";;;0;
3643;5021;"longueur";;"aune";;;0;
3644;5022;"longueur";;"aune";;;0;
3653;5026;"longueur";;"aune";;;0;
3669;5044;"longueur";;"aune";;;0;
3677;5048;"longueur";;"aune";;;0;
3688;5055;"longueur";;"aune";;;0;
3721;5089;"longueur";;"aune";;;0;
3747;5110;"longueur";;"aune";;;0;
3749;5111;"longueur";;"aune";;;0;
3754;5113;"longueur";;"aune";;;0;
3755;5114;"longueur";;"aune";;;0;
3771;5178;"longueur";;"aune";;;0;
3776;5189;"longueur";;"aune";;;0;
3782;5196;"longueur";;"aune";;;0;
3786;5202;"longueur";;"aune";;;0;
3810;5231;"longueur";;"aune";;;0;
3841;5273;"longueur";;"aune";;;0;
3875;5307;"longueur";;"aune";;;0;
3878;5314;"longueur";;"aune";;;0;
3899;5328;"longueur";;"aune";;;0;
3915;5336;"longueur";;"aune";;;0;
3952;5394;"longueur";;"aune";;;0;
3952;5395;"longueur";;"aune";;;0;
3965;5411;"longueur";;"aune";;;0;
3971;5415;"longueur";;"aune";;;0;
3972;5416;"longueur";;"aune";;;0;
3977;5426;"longueur";;"aune";;;0;
3978;5425;"longueur";;"aune";;;0;
3979;5427;"longueur";;"aune";;;0;
3981;5430;"longueur";;"aune";;;0;
3982;5431;"longueur";;"aune";;;0;
3982;5432;"longueur";;"aune";;;0;
3983;5433;"longueur";;"aune";;;0;
3984;5434;"longueur";;"aune";;;0;
3987;5435;"longueur";;"aune";;;0;
3989;5441;"longueur";;"aune";;;0;
4002;5471;"longueur";;"aune";;;0;
4002;5472;"pelleterie";240,00;"ventre";;;0;"doublure"
4003;5473;"longueur";;"aune";;;0;
4003;5474;"pelleterie";221,00;"ventre";;;0;"doublure"
4007;5478;"longueur";;"aune";;;0;
4007;5479;"longueur";;"aune";;;0;"doublure"
4008;5482;"longueur";;"aune";;;0;
4009;5486;"longueur";;"aune";;;0;
4010;5487;"longueur";;"aune";;;0;
4012;5493;"longueur";;"aune";;;0;
4013;5494;"longueur";;"aune";;;0;
4016;5495;"longueur";;"aune";;;0;
4017;5496;"longueur";;"aune";;;0;
4018;5497;"longueur";;"aune";;;0;
4019;5498;"longueur";;"aune";;;0;
4020;5499;"longueur";;"aune";;;0;
4021;5500;"longueur";;"aune";;;0;
4024;5501;"longueur";;"aune";;;0;
4025;5502;"longueur";;"aune";;;0;
4027;5503;"longueur";;"aune";;;0;
4028;5505;"longueur";;"aune";;;0;
4029;5506;"longueur";;"aune";;;0;
4030;5507;"longueur";;"aune";;;0;
4031;5508;"longueur";;"aune";;;0;
4032;5515;"longueur";;"aune";;;0;
4034;5516;"longueur";;"aune";;;0;
4035;5517;"longueur";;"aune";;;0;
4036;5518;"longueur";;"aune";;;0;
4038;5519;"longueur";;"aune";;;0;
4039;5520;"longueur";;"aune";;;0;
4040;5526;"longueur";;"aune";;;0;
4041;5527;"longueur";;"aune";;;0;
4043;5528;"longueur";;"aune";;;0;
4047;5533;"longueur";;"aune";;;0;
4047;5534;"pelleterie";;"ventre";;;0;
4053;5538;"longueur";;"aune";;;0;
4070;5567;"longueur";;"aune";;;0;
4080;5594;"longueur";;"aune";;;0;
4118;5657;"longueur";;"aune";;;0;
4123;5661;"longueur";;"aune";;;0;
4124;5664;"longueur";;"aune";;;0;
4125;5667;"longueur";;"aune";;;0;
4151;5729;"longueur";;"aune";;;0;
4151;5730;"longueur";;"aune";;;0;
4152;5732;"longueur";;"aune";;;0;
4154;5734;"longueur";;"aune";;;0;
4188;5782;"longueur";;"aune";;;0;
4189;5783;"longueur";;"aune";;;0;
4190;5784;"longueur";;"aune";;;0;
4192;5785;"longueur";;"aune";;;0;
4194;5789;"longueur";;"aune";;;0;
4205;5833;"longueur";;"aune";;;0;
4212;5849;"longueur";;"aune";;;0;
4214;5855;"longueur";;"aune";;;0;
4215;5857;"longueur";;"aune";;;0;
4216;5859;"longueur";;"aune";;;0;
4217;5861;"longueur";;"aune";;;0;
4272;5933;"longueur";;"aune";;;0;
4301;5978;"longueur";;"aune";;;0;
4312;5983;"longueur";;"aune";;;0;
4322;5987;"longueur";;"aune";;;0;
4340;6014;"longueur";;"aune";;;0;
4343;6018;"longueur";;"aune";;;0;
4344;6019;"longueur";;"aune";;;0;
4345;6020;"longueur";;"aune";;;0;
4346;6021;"longueur";;"aune";;;0;"doublure"
4349;6022;"longueur";;"aune";;;0;
4351;6023;"longueur";;"aune";;;0;
4352;6030;"longueur";;"aune";;;0;
4353;6035;"longueur";;"aune";;;0;
4354;6036;"longueur";;"aune";;;0;
4356;6037;"longueur";;"aune";;;0;
4357;6038;"longueur";;"aune";;;0;
4363;6039;"longueur";;"aune";;;0;
4365;6040;"longueur";;"aune";;;0;
4374;6041;"longueur";;"aune";;;0;
4394;6043;"longueur";;"aune";;;0;
4403;6045;"longueur";;"aune";;;0;
4404;6047;"longueur";;"aune";;;0;
4406;6049;"longueur";;"aune";;;0;
4414;6059;"longueur";;"aune";;;0;
4415;6061;"longueur";;"aune";;;0;
4416;6063;"longueur";;"aune";;;0;
4418;6066;"longueur";;"aune";;;0;
4427;6075;"longueur";;"aune";;;0;
4428;6077;"longueur";;"aune";;;0;
4446;6099;"longueur";;"aune";;;0;
4457;6111;"longueur";;"aune";;;0;
4458;6114;"longueur";;"aune";;;0;
4463;6121;"longueur";;"aune";;;0;
4465;6124;"longueur";;"aune";;;0;
4466;6125;"longueur";;"aune";;;0;
4467;6126;"longueur";;"aune";;;0;
4468;6127;"longueur";;"aune";;;0;
4469;6128;"longueur";;"aune";;;0;
4491;6153;"longueur";;"aune";;;0;
4509;6185;"longueur";;"aune";;;0;
4523;6221;"longueur";;"aune";;;0;
4583;6325;"longueur";;"aune";;;0;
4591;6333;"longueur";;"aune";;;0;
4596;6343;"longueur";;"aune";;;0;
4597;6344;"longueur";;"aune";;;0;
4598;6345;"longueur";;"aune";;;0;
4602;6349;"longueur";;"aune";;;0;
4608;6360;"longueur";;"aune";;;0;
4656;6424;"longueur";;"aune";;;0;
4657;6426;"longueur";;"aune";;;0;
4660;6430;"longueur";;"aune";;;0;
4661;6432;"longueur";;"aune";;;0;
4671;6443;"longueur";;"aune";;;0;
4735;6523;"longueur";;"aune";;;0;
4739;6531;"longueur";;"aune";;;0;
4740;6532;"longueur";;"aune";;;0;
4757;6550;"longueur";;"aune";;;0;"doublure"
4765;6559;"longueur";;"aune";;;0;
4779;6584;"longueur";;"aune";;;0;
4835;6666;"longueur";;"aune";;;0;
4864;6695;"longueur";;"aune";;;0;
4865;6696;"longueur";;"aune";;;0;
4884;6709;"longueur";;"aune";;;0;
4887;6711;"longueur";;"aune";;;0;
4890;6713;"longueur";;"aune";;;0;
4891;6714;"longueur";;"aune";;;0;
4892;6715;"longueur";;"aune";;;0;
4892;6888;"longueur";;"aune";;;0;"nœud et lac de savoie"
4892;6889;"longueur";;"aune";;;0;"nœud et lac de savoie"
4893;6716;"longueur";;"aune";;;0;
4894;6717;"longueur";;"aune";;;0;
4896;6719;"longueur";;"aune";;;0;
4897;6721;"longueur";;"aune";;;0;
4906;6730;"longueur";;"aune";;;0;
4907;6732;"longueur";;"aune";;;0;
4921;6753;"longueur";;"aune";;;0;
4923;6758;"longueur";;"aune";;;0;
4941;6890;"longueur";;"aune";;;0;"nœud et lac de savoie"
4941;6891;"longueur";;"aune";;;0;"nœud et lac de savoie"
4961;6831;"longueur";;"aune";;;0;
4962;6832;"longueur";;"aune";;;0;
4971;6840;"longueur";;"aune";;;0;
4972;6842;"longueur";;"aune";;;0;
4973;6844;"longueur";;"aune";;;0;
4979;6862;"longueur";;"aune";;;0;
4982;6867;"longueur";;"aune";;;0;
4983;6869;"longueur";;"aune";;;0;
4987;6875;"longueur";;"aune";;;0;
4987;6876;"longueur";;"aune";;;0;"doublure"
5001;6902;"longueur";3,00;"aune";;;0;
5019;6917;"longueur";;"aune";;;0;
5020;6918;"longueur";;"aune";;;0;
5021;6919;"longueur";;"aune";;;0;
5030;6933;"longueur";;"aune";;;0;
5033;6936;"longueur";;"aune";;;0;
5033;6937;"longueur";;"aune";;;0;"doublure"
5035;6941;"longueur";;"aune";;;0;
5035;6942;"longueur";;"aune";;;0;"doublure"
5036;6944;"longueur";;"aune";;;0;
5036;6945;"longueur";;"aune";;;0;
5037;6947;"longueur";;"aune";;;0;
5038;6950;"longueur";;"aune";;;0;
5045;6961;"longueur";;"aune";;;0;
5046;6964;"longueur";;"aune";;;0;
5048;6971;"longueur";;"aune";;;0;
5049;6970;"longueur";;"aune";;;0;
5050;6972;"longueur";;"aune";;;0;
5055;6978;"longueur";;"aune";;;0;
5061;6990;"longueur";;"aune";;;0;
5063;6993;"longueur";;"aune";;;0;
5067;6996;"longueur";;"aune";;;0;
5075;7007;"longueur";;"aune";;;0;
5113;7047;"longueur";;"aune";;;0;
5114;7049;"longueur";;"aune";;;0;
5115;7051;"longueur";;"aune";;;0;
5116;7053;"longueur";;"aune";;;0;
5117;7055;"longueur";;"aune";;;0;
5118;7057;"longueur";;"aune";;;0;
5121;7064;"longueur";;"aune";;;0;
5122;7080;"longueur";;"aune";;;0;
5123;7083;"longueur";;"aune";;;0;
5132;7102;"longueur";;"aune";;;0;
