"Parure";"Materiaux";"TypeMesure";"Quantite";"Unite";"provenance_mesure";"Conversion";"Materiaux_Achete";"usage"
6908;9460;"longueur";;"aune";;;0;
6909;9461;"longueur";;"aune";;;0;
6910;9463;"longueur";;"aune";;;0;
6911;9464;"longueur";;"aune";;;0;
6912;9465;"longueur";;"aune";;;0;
6913;9466;"longueur";;"aune";;;0;
6913;9467;"longueur";;"aune";;;0;"doublure"
6926;9489;"longueur";;"aune";;;0;
6927;9492;"longueur";;"aune";;;0;
6928;9493;"longueur";;"aune";;;0;
6929;9495;"longueur";;"aune";;;0;
6930;9498;"longueur";;"aune";;;0;
6931;9501;"longueur";;"aune";;;0;
6932;9502;"longueur";;"aune";;;0;
6933;9503;"longueur";;"aune";;;0;
6934;9504;"longueur";;"aune";;;0;
6935;9505;"longueur";;"aune";;;0;
6942;9511;"longueur";;"aune";;;0;
6952;9524;"longueur";;"aune";;;0;"doublure"
6972;9575;"longueur";;"aune";;;0;
6980;9580;"longueur";;"aune";;;0;
6982;9581;"longueur";;"aune";;;0;
6982;9582;"longueur";;"aune";;;0;"doublure"
6983;9583;"longueur";;"aune";;;0;
6984;9584;"longueur";;"aune";;;0;
6985;9585;"longueur";;"aune";;;0;
6987;9588;"longueur";;"aune";;;0;
7005;9613;"longueur";;"aune";;;0;
7013;9624;"longueur";;"aune";;;0;
7014;9626;"longueur";;"aune";;;0;
7037;9639;"longueur";;"aune";;;0;"doublure"
7039;9643;"longueur";;"aune";;;0;
7042;9653;"longueur";;"aune";;;0;
7052;9660;"longueur";;"aune";;;0;
7054;9662;"longueur";;"aune";;;0;
7067;9690;"longueur";;"aune";;;0;
7068;9692;"longueur";;"aune";;;0;
7070;9695;"longueur";;"aune";;;0;
7087;9713;"longueur";;"aune";;;0;
7109;9742;"longueur";;"aune";;;0;
7109;9743;"longueur";;"aune";;;0;"doublure"
7110;9744;"longueur";;"aune";;;0;
7111;9746;"longueur";;"aune";;;0;
7111;9747;"pelleterie";;"penne";;;0;"doublure"
