"Id";"Type";"Famille";"Nom";"Couleur";"CaracCouleur";"CaracFacture";"Ville";"Region"
1666;"E";"laine";"tanné";"tanné";;;"Bruxelles";"Brabant"
1667;"E";"laine";"rayé";"rayé";;;"Gand";"Flandres"
1668;"E";"laine";"vert";"vert";;;;
1669;"E";"laine";"vert";"vert";;;;
1670;"E";"laine";"drap";;;;;
1671;"E";"laine";"morée";;;;"Bruxelles";"Brabant"
1672;"E";"laine";"vert";"vert";;;"Bruxelles";"Brabant"
1673;"M";"NA";"ruban";;;;;
1674;"M";"soie";"ruban";;;;;
1675;"E";"laine";"tapisserie";;;;;
1676;"M";"NA";"papier d'or";;;;;
1677;"E";"toile";"toile";;;;"Reims";"Champagne"
1678;"F";"NA";"pople";;;"fin";;
1679;"F";"NA";"agneau";;;"Bougie";;
1680;"F";"NA";"menu vair";;;;;
1681;"F";"NA";"agneau";;;"Bougie";;
1682;"E";"laine";"marbré";;;;"Bruxelles";"Brabant"
1683;"M";"soie";"soie";;;;;
1684;"M";"NA";"fil";;;;;
1685;"E";"soie";"cendal";;;;;
1686;"E";"toile";"toile";;;;;
1687;"E";"laine";"brunette";"noir";;;;
1688;"E";"mélangé";"futaine";;;;;
1689;"M";"NA";"fil";;;;;
1690;"M";"NA";"coton";;;;;
1691;"M";"NA";"ruban";;;;;
1692;"E";"soie";"cendal";;;;;
1693;"E";"soie";"soie";;;;;
1694;"E";"laine";"écarlate";"paonace";;;;
1695;"E";"laine";"drap";;;;"Bruxelles";"Brabant"
1696;"E";"laine";"tanné";"tanné";;;"Bruxelles";"Brabant"
1697;"E";"laine";"violet";"violet";;;;
1698;"E";"laine";"brunette";"noir";;;"Saint-Loup";"Bourgogne"
1699;"E";"laine";"violet";"violet";;;"Louvain";"Brabant"
1700;"E";"laine";"tanné";"tanné";;;"Bruxelles";"Brabant"
1701;"E";"soie";"drap d'or";;;;;
1702;"E";"soie";"velours";;;;;
1703;"E";"soie";"velours";"azur";;;;
1704;"E";"soie";"taffetas";"azur";;;;
1705;"E";"laine";"drap";;;;;
1706;"E";"soie";"cendal";"blanc";;;;
1707;"E";"soie";"drap d'or";;;;;
1708;"E";"soie";"soie";;;;;
1709;"E";"soie";"velours";"azur";;;;
1710;"E";"soie";"taffetas";"azur";;;;
1711;"E";"soie";"cendal";"azur";;;;
1712;"E";"laine";"camelin";;;;;
1713;"E";"laine";"rayé";"rayé";;;;
1714;"E";"laine";"verdet";"vert";"verdelet";;;
1715;"F";"NA";"renard";;;;;
1716;"E";"laine";"tanné";"tanné";;;"Bruxelles";"Brabant"
1717;"E";"laine";"brunette";"noir";;;"Saint-Loup";"Bourgogne"
1718;"E";"laine";"drap";;;;;
1719;"E";"laine";"drap";;;;;
1720;"E";"laine";"drap";;;;;
1721;"E";"laine";"camelin";;;;"Bruxelles";"Brabant"
1722;"E";"toile";"toile";"noir";;;;
1723;"E";"mélangé";"futaine";;;;;
1724;"M";"NA";"coton";;;;;
1725;"M";"NA";"fil";;;;;
1726;"E";"toile";"toile";;;;"Reims";"Champagne"
1727;"E";"toile";"toile";;;"gros";;
1728;"M";"soie";"orfrois";;;;;
1729;"M";"soie";"soie";;;;;
1730;"M";"NA";"fil";;;;;
1731;"E";"soie";"cendal";;;;;
1732;"F";"NA";"menu vair";;;;;
1733;"F";"NA";"gros vair";;;;;
1734;"F";"NA";"vair";;;;;
1735;"F";"NA";"hermine";;;;;
1736;"F";"NA";"fourrure";;;;;
1737;"E";"laine";"drap";;;;;
1738;"E";"laine";"pers";"pers";;;"Bruxelles";"Brabant"
1739;"E";"laine";"marbré";"vermeil";;;"Bruxelles";"Brabant"
1740;"E";"laine";"écarlate";"vermeil";;;;
1741;"E";"laine";"brunette";"noir";;;"Bruxelles";"Brabant"
1742;"E";"laine";"violet";"violet";"mosti";;"Bruxelles";"Brabant"
1743;"E";"laine";"camelin";"gouté";;;"Bruxelles";"Brabant"
1744;"E";"laine";"camelin";"gouté";;;"Bruxelles";"Brabant"
1745;"E";"laine";"tanné";"tanné";;;"Bruxelles";"Brabant"
1746;"E";"laine";"camelin";;;;"Bruxelles";"Brabant"
1747;"M";"soie";"soie";"vert";;;;
1748;"M";"soie";"soie";"vermeil";;;;
1749;"M";"NA";"fil";;;;;
1750;"E";"soie";"cendal";;;;;
1751;"E";"soie";"cendal";"vert";;;;
1752;"F";"NA";"vair";;;;;
1753;"F";"NA";"gris";;;;;
1754;"F";"NA";"hermine";;;;;
1755;"F";"NA";"martre";;;;;
1756;"F";"NA";"martre";;;;;
1757;"E";"laine";"marbré";;;;"Bruxelles";"Brabant"
1758;"E";"laine";"marbré";;;;"Bruxelles";"Brabant"
1759;"F";"NA";"fourrure";;;;;
1760;"F";"NA";"gros vair";;;;;
1761;"F";"NA";"vair";;;;;
1762;"F";"NA";"pople";;;;;
1763;"E";"laine";"méclat";;;;;
1764;"F";"NA";"agneau";;;"Bougie";;
1765;"F";"NA";"létice";;;;;
1766;"M";"NA";"cucusa";;;;;
1767;"M";"soie";"soie";;;;;
1768;"M";"soie";"soie";;;;;
1769;"F";"NA";"bièvre";;;;;
1770;"F";"NA";"fourrure";;;;;
1771;"E";"soie";"soie";;;"de Chaney";;
1772;"F";"NA";"bièvre";;;;;
1773;"E";"soie";"bifette";"blanc";;;;
1774;"E";"soie";"bifette d'or";;;;;
1775;"M";"soie";"soie";;;;;
1776;"O";"NA";"argent";;;;;
1777;"E";"soie";"cendal";"vermeil";;;;
1778;"M";"soie";"soie";"ynde";;;;
1779;"M";"soie";"tresse";;;"large";;
1780;"M";"soie";"ruban";"or";;"large";"Venise";"Italie"
1781;"M";"NA";"perle";;;;;
1782;"M";"soie";"ruban";"or";;;"Venise";"Italie"
1783;"M";"soie";"ruban";"argent";;;;
1784;"F";"NA";"létice";;;;;
1785;"M";"soie";"fil d'or";;;;;
1786;"M";"soie";"soie";;;;;
1787;"E";"toile";"toile";"blanc";;;;
1788;"E";"toile";"toile";"blanc";;"crue";;
1789;"E";"toile";"toile";;;;;
1790;"E";"toile";"toile";;;;;
1791;"E";"toile";"toile";;;;"Reims";"Champagne"
